# Pressure drop measurements — rectangular channel 200×50 μm cross-section
# Fluid: water (μ = 1.002×10⁻³ Pa·s, ρ = 998 kg/m³)
# Formula: ΔP = Q × R,  R = 12μL / (wh³(1 − 0.63h/w))
# reynolds_number: Re = ρ·v_mean·Dh / μ  (Dh = 2wh/(w+h))
# measurement_uncertainty_Pa: ±3–7% of theoretical ΔP (simulated sensor noise)
flow_rate_uL_min,channel_length_mm,pressure_drop_Pa,measurement_uncertainty_Pa,reynolds_number
0.1,5,4.70,0.27,0.0133
0.25,5,12.20,0.39,0.0332
0.5,5,22.68,0.77,0.0664
1.0,5,47.07,2.39,0.1328
2.0,5,100.08,3.12,0.2656
5.0,5,240.82,8.00,0.6640
10.0,5,436.10,16.63,1.3280
20.0,5,992.14,37.04,2.6560
0.1,10,8.71,0.51,0.0133
0.25,10,21.71,1.09,0.0332
0.5,10,48.30,3.06,0.0664
1.0,10,94.93,3.96,0.1328
2.0,10,193.23,8.06,0.2656
5.0,10,485.10,29.80,0.6640
10.0,10,977.93,52.86,1.3280
20.0,10,2016.80,85.43,2.6560
0.1,20,18.70,0.62,0.0133
0.25,20,47.32,1.82,0.0332
0.5,20,93.02,4.05,0.0664
1.0,20,181.19,10.17,0.1328
2.0,20,365.21,23.51,0.2656
5.0,20,963.10,55.15,0.6640
10.0,20,1907.52,97.06,1.3280
20.0,20,4054.38,247.40,2.6560
0.1,30,28.39,1.98,0.0133
0.25,30,68.44,2.48,0.0332
0.5,30,132.27,5.15,0.0664
1.0,30,297.25,14.15,0.1328
2.0,30,611.99,34.59,0.2656
5.0,30,1453.03,75.53,0.6640
10.0,30,2942.20,165.02,1.3280
20.0,30,5534.11,306.99,2.6560
0.1,50,45.27,3.03,0.0133
0.25,50,115.77,8.06,0.0332
0.5,50,220.53,7.71,0.0664
1.0,50,481.42,27.62,0.1328
2.0,50,861.07,59.82,0.2656
5.0,50,2079.14,98.44,0.6640
10.0,50,4490.91,147.01,1.3280
20.0,50,9979.50,461.15,2.6560
