# Pressure Drop Experiment — Rectangular Microchannels
# Channel: 200 μm wide, 50 μm deep, water at 25°C
# Pump: syringe pump (flow rate control), pressure sensor: Elveflow MPS
# 5 channel lengths × 8 flow rates = 40 data points
# Noise model: 5% Gaussian noise + 2% systematic (PDMS compliance)
# Columns: channel_length_mm [mm], flow_rate_ul_min [μL/min]
#          pressure_drop_pa [Pa] = measured
#          pressure_theoretical_pa [Pa] = Hagen-Poiseuille prediction
#          uncertainty_pa [Pa] = measurement uncertainty (1σ)
#          reynolds_number = Re (for reference)
channel_length_mm,flow_rate_ul_min,pressure_drop_pa,pressure_theoretical_pa,uncertainty_pa,reynolds_number
5,1,42.49,42.26,2.11,0.1494
5,2,86.70,84.53,4.23,0.2988
5,5,224.19,211.32,10.57,0.7470
5,10,444.58,422.64,21.13,1.4939
5,15,657.72,633.95,31.70,2.2409
5,20,889.65,845.27,42.26,2.9879
5,30,1323.60,1267.91,63.40,4.4818
5,50,2089.20,2113.18,105.66,7.4697
10,1,83.19,84.53,4.23,0.1494
10,2,168.46,169.05,8.45,0.2988
10,5,441.64,422.64,21.13,0.7470
10,10,851.61,845.27,42.26,1.4939
10,15,1441.34,1267.91,63.40,2.2409
10,20,1655.10,1690.55,84.53,2.9879
10,30,2447.21,2535.82,126.79,4.4818
10,50,4473.28,4226.36,211.32,7.4697
15,1,138.34,126.79,6.34,0.1494
15,2,265.07,253.58,12.68,0.2988
15,5,673.13,633.95,31.70,0.7470
15,10,1383.69,1267.91,63.40,1.4939
15,15,1930.96,1901.86,95.09,2.2409
15,20,2406.12,2535.82,126.79,2.9879
15,30,3778.61,3803.73,190.19,4.4818
15,50,6768.38,6339.55,316.98,7.4697
20,1,160.23,169.05,8.45,0.1494
20,2,345.44,338.11,16.91,0.2988
20,5,872.88,845.27,42.26,0.7470
20,10,1697.68,1690.55,84.53,1.4939
20,15,2678.28,2535.82,126.79,2.2409
20,20,3546.90,3381.09,169.05,2.9879
20,30,5761.74,5071.64,253.58,4.4818
20,50,8883.80,8452.73,422.64,7.4697
25,1,209.11,211.32,10.57,0.1494
25,2,419.22,422.64,21.13,0.2988
25,5,1033.79,1056.59,52.83,0.7470
25,10,2256.06,2113.18,105.66,1.4939
25,15,3143.33,3169.77,158.49,2.2409
25,20,4296.04,4226.36,211.32,2.9879
25,30,6703.85,6339.55,316.98,4.4818
25,50,10395.03,10565.91,528.30,7.4697
