# Parabolic velocity profile measurement — 200×50 μm straight channel
# Fluid: water (μ = 1.002×10⁻³ Pa·s, ρ = 998 kg/m³)
# Conditions: ΔP = 1000 Pa, L = 10 mm → Q ≈ 2.13 μL/min, v_max ≈ 26 900 μm/s
# position_um: cross-section position (−100 = bottom wall, +100 = top wall)
# velocity_um_s: measured velocity (μm/s), parabolic profile + ~6% Gaussian noise
# velocity_std_um_s: measurement standard deviation (μm/s)
position_um,velocity_um_s,velocity_std_um_s
-100.0,0.00,1149.59
-94.9,2353.24,1081.52
-89.7,4912.31,1960.39
-84.6,5102.26,902.49
-79.5,9332.07,1075.51
-74.4,11929.83,1452.19
-69.2,14717.17,1642.07
-64.1,15652.79,1504.20
-59.0,17525.36,1851.68
-53.8,20724.18,796.81
-48.7,20877.59,1235.28
-43.6,18991.48,992.53
-38.5,23765.61,910.11
-33.3,22976.70,915.33
-28.2,25418.64,1848.66
-23.1,23121.25,1746.97
-17.9,21298.66,1285.58
-12.8,24886.91,1513.53
-7.7,27167.34,1920.36
-2.6,24336.39,1546.78
2.6,26122.33,1087.68
7.7,25656.75,1168.46
12.8,26850.18,920.96
17.9,25980.70,1153.46
23.1,23887.82,1274.60
28.2,23054.31,1063.51
33.3,22961.75,1639.64
38.5,26071.05,1588.53
43.6,22494.57,1002.94
48.7,22280.82,1286.79
53.8,20905.89,1519.98
59.0,16988.76,1687.70
64.1,16980.85,1089.19
69.2,11405.95,830.44
74.4,11249.59,1065.45
79.5,10814.94,2027.04
84.6,8440.29,1649.37
89.7,4152.71,1308.04
94.9,4127.12,1136.26
100.0,0.00,1112.28
