# Velocity Profile Experiment — Rectangular Microchannel
# Channel: 200 μm wide, 50 μm deep, water at 25°C
# Flow rate: 10 μL/min (syringe pump, Harvard Apparatus PHD 2000)
# Measurement: micro-PIV at mid-depth (z = 25 μm), 20x objective, 532 nm laser
# Reference fluid: u_avg = 16667 μm/s, Re = 0.74 (Hagen-Poiseuille)
# Noise model: 7% Gaussian + near-wall systematic bias
# Columns: x_um = position from channel center [μm]
#          velocity_um_s = measured velocity [μm/s]
#          velocity_theoretical_um_s = HP theoretical [μm/s]
#          uncertainty_um_s = measurement uncertainty (1σ) [μm/s]
x_um,velocity_um_s,velocity_theoretical_um_s,uncertainty_um_s
-100.0,0.00,0.00,875.18
-95.0,2194.92,2437.99,875.18
-90.0,4649.62,4750.95,875.18
-85.0,8276.27,6938.89,875.18
-80.0,8889.09,9001.80,875.18
-75.0,8422.64,10939.69,875.18
-70.0,13426.08,12752.55,875.18
-65.0,14049.78,14440.39,875.18
-60.0,15685.67,16003.20,875.18
-55.0,17691.71,17440.99,875.18
-50.0,19195.52,18753.75,875.18
-45.0,22002.65,19941.49,875.18
-40.0,22169.67,21004.20,875.18
-35.0,22145.19,21941.89,875.18
-30.0,21467.76,22754.55,875.18
-25.0,21668.92,23442.19,875.18
-20.0,24437.14,24004.80,875.18
-15.0,26737.61,24442.39,875.18
-10.0,24827.94,24754.95,875.18
-5.0,24756.39,24942.49,875.18
0.0,25935.79,25005.00,875.18
5.0,22398.28,24942.49,875.18
10.0,24208.43,24754.95,875.18
15.0,25301.06,24442.39,875.18
20.0,25534.72,24004.80,875.18
25.0,23023.75,23442.19,875.18
30.0,23419.26,22754.55,875.18
35.0,22386.23,21941.89,875.18
40.0,22389.68,21004.20,875.18
45.0,18017.49,19941.49,875.18
50.0,19783.55,18753.75,875.18
55.0,14837.93,17440.99,875.18
60.0,11479.60,16003.20,875.18
65.0,13455.45,14440.39,875.18
70.0,11241.42,12752.55,875.18
75.0,12576.86,10939.69,875.18
80.0,10275.11,9001.80,875.18
85.0,4913.74,6938.89,875.18
90.0,6327.64,4750.95,875.18
95.0,743.35,2437.99,875.18
100.0,0.00,0.00,875.18
